===== EXPERIMENT NOTE =====

--- CONFIG ---
Mode   : IID
Rounds : 20

--- MODEL INFO ---
Total Params          : 24889
Trainable Params      : 24153
Non-trainable Params  : 736
Model Size (bytes)    : 263416
Model Size (KB)       : 257.24
Model Size (MB)       : 0.25

--- FINAL RESULTS ---

[FINAL MODEL]
loss: 0.1391407549381256
accuracy: 0.9602199196815491
precision: 0.9319816827774048
recall: 0.9868420958518982
fpr: 0.06310679611650485
fnr: 0.013157894736842105
f1: 0.9586276419657745

[BEST MODEL]
loss: 0.22750136256217957
accuracy: 0.9149417877197266
precision: 0.8533812165260315
recall: 0.9875346422195435
fpr: 0.1486650485436893
fnr: 0.012465373961218837
f1: 0.9155698348029552
